Month,Price,f6_GenCalifornia.other.gases,f16_Av.Temp,f23_GeoConsump,f26_WoodConsump,f38_Natural.Gas.Price.Electric.Power.Sector,f48_Electricity.Retail.Sales,f60_Natural.Gas.Consumed.Other.Industrial.Sector,f64_Natural.Gas.Consumed.Transportation.Sector.Vehicle.Fuel.
2005-08,12.7,230.67711,75.51,15.407,182.796,8.67,362.544,415.974,1.944
2005-09,12.29,190.26284,69.82,15.003,174.501,10.99,330.923,390.619,1.881
2005-10,11.27,170.59706,65.31,15.341,178.567,11.84,297.626,427.657,1.944
2005-11,11.14,152.40277,63.71,14.973,173.209,9.87,274.585,452.106,1.881
2005-12,11.15,177.82243,57.04,15.438,181.612,11.26,307.343,491.283,1.944
2006-01,11.25,169.54138,54.91,15.313,187.674,9.15,304.866,488.788,2.016
2006-02,11.72,172.69402,58.79,13.834,164.912,8,281.046,476.159,1.821
2006-03,11.69,175.89642,49.63,15.628,175.5,7.36,289.97,493.696,2.016
2006-04,12.04,157.43069,55.3,14.216,166.537,7.32,268.208,449.827,1.951
2006-05,12.31,187.90276,64.51,13.984,171.132,6.89,287.198,427.66,2.016
2006-06,13.9,164.53966,74.92,14.911,170.346,6.69,321.84,414.417,1.951
2006-07,15.17,178.08728,82.26,15.628,180.235,6.69,362.387,409.13,2.016
2006-08,13.96,163.63439,74.38,15.902,179.396,7.56,368.634,426.917,2.016
2006-09,13.85,189.07827,74.36,15.112,173.115,6.27,317.282,429.044,1.951
2006-10,12.16,175.9188,64.58,15.766,177.454,5.76,291.186,447.253,2.016
2006-11,12.38,157.98435,64.66,14.993,172.741,7.48,277.182,465.384,1.951
2006-12,12.14,129.73802,56.77,15.913,180.279,7.57,300.119,483.673,2.016
2007-01,12.42,124.86372,53.03,16.297,182.455,7.08,315.104,525.871,2.094
2007-02,11.98,129.63514,55.32,14.248,162.893,8.18,301.331,520.556,1.891
2007-03,11.89,186.11121,61.27,15.392,174.64,7.64,291.66,497.271,2.094
2007-04,11.74,181.89559,59.29,14.824,173.47,7.77,275.341,459.544,2.026
2007-05,12.24,195.58521,63.1,14.904,173.553,7.96,292.8,437.393,2.094
2007-06,13.66,193.84454,70.56,15.616,170.164,7.8,323.007,426.12,2.026
2007-07,14.08,163.6548,76.39,15.849,178.134,7.03,352.642,420.135,2.094
2007-08,13.99,134.69674,77.74,15.891,174.785,6.83,373.365,430.6,2.094
2007-09,13.85,162.94734,71.09,15.414,169.547,6.33,337.525,428.126,2.026
2007-10,12.61,119.14087,65.12,15.989,174.97,7,307.783,451.578,2.094
2007-11,12.29,114.41127,62.48,15.347,172.532,7.28,286.299,482.933,2.026
2007-12,11.97,111.31984,52.31,16.003,181.632,7.93,307.704,524.151,2.094
2008-01,11.55,143.30903,51.95,15.825,195.336,8.52,326.215,573.032,2.201
2008-02,11.55,109.51185,54.1,14.369,169.281,8.87,305.095,539.92,2.059
2008-03,11.46,136.04075,59.3,16.239,175.228,9.53,294.625,529.489,2.201
2008-04,11.23,180.30099,62.23,15.79,171.485,10.19,277.963,482.506,2.13
2008-05,12.01,153.91647,63.06,16.318,172.47,10.97,288.276,463.661,2.201
2008-06,13.67,142.21729,74.95,16.206,167.713,12.41,328.592,433.679,2.13
2008-07,13.62,133.26818,75.05,16.514,173.963,11.71,360.427,437.61,2.201
2008-08,14.07,135.4392,75.74,16.454,171.954,8.97,351.856,440.134,2.201
2008-09,13.32,146.21227,74.87,15.944,164.058,7.81,321.906,406.764,2.13
2008-10,12.47,137.05387,72.78,16.495,169.452,6.74,291.762,457.922,2.201
2008-11,12.48,141.26401,65.56,15.94,166.136,6.64,278.33,472.289,2.13
2008-12,11.64,126.32945,52.63,16.339,161.91,6.9,308.916,478.39,2.201
2009-01,12.33,149.99018,60.41,17.14,162.016,6.62,321.624,502.096,2.315
2009-02,12.26,139.93677,53.88,15.517,150.245,5.62,286.251,452.373,2.091
2009-03,12.19,106.46954,55.94,17.252,159.161,4.92,283.808,457.074,2.315
2009-04,12.17,96.93663,59.18,16.341,151.103,4.7,265.464,418.686,2.241
2009-05,13.16,136.56932,67.48,16.616,156.189,4.7,275.276,390.998,2.315
2009-06,14.13,123.98827,64.62,16.212,157.916,4.62,305.52,376.963,2.241
2009-07,15,166.91377,77.2,16.814,167.218,4.47,337.878,387.039,2.315
2009-08,14.91,164.47992,75.88,16.773,170.534,4.3,344.845,403.293,2.315
2009-09,14.72,155.09001,77.59,16.289,161.387,4.02,310.563,395.492,2.241
2009-10,13.23,129.37185,65.89,16.479,165.252,5.04,287.116,436.919,2.315
2009-11,11.36,128.08967,64.91,16.841,161.815,5.06,268.158,452.028,2.241
2009-12,12.21,125.00792,52.82,17.912,168.174,6.24,310.291,504.642,2.315
2010-01,12.29,139.40817,56.22,17.852,167.13,6.98,331.879,554.246,2.434
2010-02,11.83,121.57434,54.34,15.872,153.689,6.27,298.46,515.715,2.199
2010-03,12.18,133.41502,57.05,17.801,167.172,5.47,292.511,514.997,2.434
2010-04,11.79,135.16982,55.46,16.99,159.726,4.91,267.052,459.022,2.356
2010-05,12.66,153.00047,61.25,17.839,161.739,4.96,283.729,462.766,2.434
2010-06,13.91,140.6543,66.21,17.219,163.044,5.31,330.893,444.829,2.356
2010-07,14.39,166.34974,70.18,17.479,169.109,5.34,369.018,445.733,2.434
2010-08,14.28,189.55884,74.4,17.706,170.473,5.06,371.769,444.568,2.434
2010-09,14.32,139.49726,74.28,17.11,165.521,4.61,327.742,448.759,2.356
2010-10,13.09,111.20005,63.65,16.975,165.618,4.45,287.84,462.582,2.434
2010-11,12.39,123.62824,59.13,17.108,164.418,4.55,274.9,494.834,2.356
2010-12,12.17,141.18445,55.4,18.027,173.047,5.68,319.048,549.151,2.434
2011-01,12.4,123.90771,57.82,18.48,176.398,5.66,334.116,569.35,2.546
2011-02,12.21,98.0257,51.78,16.676,157.533,5.29,296.903,519.254,2.299
2011-03,11.91,160.18807,56.31,18.388,169.205,4.84,292.052,534.147,2.546
2011-04,12.09,132.98153,59.28,17.258,159.157,5.03,275.204,485.813,2.464
2011-05,12.64,118.10118,61.04,18.194,160.676,5.04,287.993,476.156,2.546
2011-06,13.96,136.65972,64.39,17.02,167.468,5.2,328.707,447.744,2.464
2011-07,14.64,145.37334,72.77,17.723,172.059,5.13,370.692,445.349,2.546
2011-08,14.23,154.10475,75.57,17.777,172.246,4.85,372.72,454.215,2.546
2011-09,13.97,161.97123,73.41,17.127,166.92,4.71,326.247,458.605,2.464
2011-10,13.24,131.37916,68.8,17.836,165.516,4.49,288.133,486.137,2.546
2011-11,12.52,156.85366,58.02,17.57,166.684,4.26,275.235,508.17,2.464
2011-12,12.03,147.44132,55.59,18.261,176.384,4.18,301.844,546.522,2.546
2012-01,12.74,151.37674,60.18,17.4,172.869,3.82,310.975,571.544,2.538
2012-02,12.46,136.92374,55.62,16.387,162.401,3.46,286.983,534.332,2.375
2012-03,12.31,146.63675,54.59,17.608,165.529,3.09,283.731,517.651,2.538
2012-04,12.37,132.91984,60.56,17.084,156.66,2.81,270.76,489.234,2.457
2012-05,12.87,130.87436,66.36,17.787,165.312,3.05,296.968,481.294,2.538
2012-06,14.67,126.0288,67.95,17.361,164.832,3.21,325.16,468.039,2.457
2012-07,14.26,135.1494,73.34,17.946,171.852,3.54,370.963,467.889,2.538
2012-08,15.2,130.9934,80.69,17.786,173.259,3.61,364.785,482.43,2.538
2012-09,15.51,97.91397,79.21,17.576,167.65,3.54,318.09,479.462,2.457
2012-10,13.29,125.4291,69.31,18.027,168.302,4,290.735,509.274,2.538
2012-11,12.88,93.99267,61.48,18.023,167.166,4.43,278.212,524.353,2.457
2012-12,12.67,75.92478,52.23,18.608,174.433,4.35,297.288,551.692,2.538
2013-01,13.03,110.4236,54.24,18.578,185.329,4.56,320.683,576.224,2.552
2013-02,12.98,113.25018,54.58,16.666,166.588,4.59,291.48,532.78,2.305
2013-03,12.84,151.06825,60.83,18.543,181.589,4.5,297.226,556.836,2.552
2013-04,12.98,127.52788,61.32,17.376,171.494,4.84,277.782,508.172,2.469
2013-05,13.8,111.74856,67.19,17.87,178.791,4.79,289.398,499.532,2.552
2013-06,15.84,111.29816,70.2,17.415,179.128,4.56,320.201,468.19,2.469
2013-07,15.78,116.41448,74.56,18.148,190.452,4.34,358.701,473.387,2.552
2013-08,15.66,115.4386,75.43,18.011,188.043,4.03,353.58,487.99,2.552
2013-09,15.66,137.66118,75.04,17.616,176.634,4.22,323.478,479.38,2.469
2013-10,14.64,101.22473,65.26,18.402,180.831,4.26,294.37,516.194,2.552
2013-11,14.02,117.34295,62.1,16.959,181.209,4.36,281.494,554.821,2.469
2013-12,13.23,92.32161,58.11,18.423,189.457,5.11,316.475,601.644,2.552
2014-01,13.86,93.99616,64.22,18.279,190.944,7.46,341.238,616.801,2.997
2014-02,13.65,101.78837,58.7,16.342,173.552,7.8,308.941,570.31,2.707
2014-03,13.59,89.31978,60.33,18.114,190.236,6.29,302.388,586.188,2.997
2014-04,11.74,115.18829,62.89,17.711,179.828,5.25,275.894,538.376,2.9
2014-05,14.47,94.66778,68.57,18.064,182.659,5.09,291.421,513.975,2.997
2014-06,15.99,99.46755,69.35,17.519,187.243,4.99,322.792,494.525,2.9
2014-07,17.05,115.41926,75.2,17.942,193.166,4.58,351.524,505.894,2.997
2014-08,17.25,115.21569,75.23,18.034,194.421,4.25,351.883,507.748,2.997
2014-09,17.3,126.958,76.76,17.654,182.76,4.34,326.907,496.33,2.9
2014-10,15.36,119.11873,71.61,18.185,186.967,4.23,296.68,515.26,2.997
2014-11,15.16,138.33389,64.42,18.176,185.561,4.68,285.413,565.422,2.9
2014-12,14.46,123.47753,55.76,18.469,194.57,4.5,309.62,590.25,2.997
2015-01,14.55,180.37674,60.23,18.085,181.77,4.31,329.666,614.838,3.345
2015-02,14.3,106.78868,61.5,16.614,164.077,5.02,306.768,567.371,3.022
2015-03,14.22,108.94135,66.26,18.384,172.174,3.71,305.352,562.704,3.345
2015-04,12.64,103.17199,62.91,17.077,167.706,3.24,275.475,515.052,3.238
2015-05,14.76,126.44698,60.14,18.348,172.695,3.28,288.091,507.684,3.345
2015-06,16.12,138.6011,72.81,17.349,170.552,3.25,326.397,473.65,3.238
2015-07,17.31,158.0415,71.86,18.036,178.621,3.23,362.938,482.456,3.345
2015-08,17.19,146.87027,76.54,17.919,179.457,3.23,362.032,489.439,3.345
2015-09,17.36,127.58786,76.68,16.429,169.853,3.2,332.958,476.578,3.238
2015-10,15.62,98.31734,73.06,17.722,167.367,3.04,296.055,510.642,3.345
2015-11,15.03,109.79735,60.19,17.647,169.516,2.78,275.917,535.245,3.238
2015-12,14.41,143.69726,54.35,18.225,177.027,2.72,297.344,564.32,3.345
2016-01,14.74,155.7331,53.56,19.091,171.978,3.17,317.186,613.203,3.395
2016-02,14.53,131.72562,65.43,17.817,159.832,2.83,293.253,562.434,3.176
2016-03,14.34,113.83764,59,18.987,163.693,2.33,281.819,559.009,3.395
2016-04,12.67,127.79559,63.05,17.688,153.977,2.52,265.967,519.526,3.286
2016-05,14.94,126.41566,60.11,19.133,160.407,2.49,280.708,509.905,3.395
2016-06,16.24,119.65615,73.18,17.913,162.746,2.77,325.427,486.15,3.286
2016-07,16.93,120.74355,75.56,18.65,167.77,3.07,367.258,507.768,3.704
2016-08,17.15,113.37364,74.75,18.831,168.04,3.07,375.622,518.065,3.704
2016-09,16.68,106.15809,72.58,18.723,158.732,3.19,332.428,499.269,3.585
2016-10,14.18,112.23015,67.36,19.255,157.825,3.24,292.056,520.219,3.704
2016-11,14.99,109.44875,64.48,19.245,162.04,3.14,272.891,547.998,3.585
2016-12,14.88,101.50829,53.47,20.475,172.266,4.16,306.163,621.705,3.704
2017-01,15.12,77.19965,51,19.749,169.669,4.32,314.483,616.956,3.679
2017-02,15.3,98.79892,52.5,17.632,154.814,3.74,272.996,541.972,3.323
2017-03,15.39,118.23473,61.41,19.676,168.991,3.52,287.863,583.49,3.679
2017-04,13.12,129.62659,62.91,19.221,158.32,3.49,268.56,522.252,3.56
2017-05,15.46,136.91117,63.81,18.644,162.053,3.62,288.934,521.316,3.679
2017-06,17.55,118.54188,72.78,18.14,163.552,3.41,323.508,507.118,3.56
2017-07,17.53,111.09914,77.49,19.407,170.705,3.32,361.57,514.746,3.694
